1,0,"VOSIIIIOLINANIYAPeter AlexandrovichVakhrusheva.Initial recollection until about 1880-85, according to my grandfather, father and uncle."
1,1,"and further - personal nodding and obviousness.These recollections began in 1919,d, v Persii, where I lived eleven months ."
1,2,"; then having moved to Paris, after a long break, I again began to correct the written and the continuation of the memoirs.I started nineteen centuries, in the village of Trofimov Sko, Vyatka province, Sloboda district, Stulovo volost, including other state / free towns / villages, and peasant housing Anim."
1,3,Wahrushev.
1,4,"There were very few land lands, only three southern districts: Sarapul: Skom, Yelabuzhsky and Urkumsky there were no more than 17 on the other; therefore, noble assemblies and the leader of the nobility of the Vyatka province never existed."
1,5,And there were never large peasants in the Vyatka province at all.
1,6,"On the contrary, there was a lot of state treasury forest, especially in the Slobodsky district, the upper reaches of the river Vyatka, the area called Kai."
1,7,"There were sold treasury bargains for cutting, so there were local foresters Usatov, Barak, , Zarkin and others who rafted"
2,0,"lsa along rѣkѣ Vyatkѣ up to Kama, here they were resold by Urzh umskim for industrialists: Shamov, Bushkov and others ."
2,1,; the last rafting of Vyatskie forest along Kamka and further along the Volga to Tsaritsyn and Astrakhan.
2,2,"In recent times, the Varaksins brothers themselves rafted down to Astrakhan, and there, all the sailing different tributaries of the Volga were already sorted and resold abroad.The peasant Anfim Vakhrushev had two sons: Timothy and Ivan and one daughter.After the death of Anrim, his sons, already having their own grown up children, were they divided."
2,3,"Younger Ivan, having one son with Alexey / godson Fyodor Timofeevich Vakhrushev /, from whom the grandchildren had already appeared: Yakov, Ilya and Mitrofan, decided to stay in his father’s house, in the village of Trofimov and continued to regret the peasant farm - land ownership.The eldest son Ans “ima, Timofei An imovmch, his wife, Irina Ilet, was even a very energetic, hardworking people and had already four sons: Par: zna, Fedor, Ivan and Ilya."
2,4,"They saw that it was impossible to live in the same house as the family of brother Ivan, since both had married sons and grandchildren."
2,5,"Then Timofey Anfimovich / approximately in 1840 and asked his peasants villagers to take him from a long estate to build his own house - either in the village of Tro Zimovskaya, or by sentence to give him a full sackland from the community of peasant land tenure; give the corresponding amount of land on the outskirts of common ownership, indicate such a plot of land and with a small amount of land on the right hand side of the regulation of Mochovitsa."
2,6,"The village is Trokhimovskaya, or B peasantsThe stem called Vahrushi is located on the left side of the small river and on"
3,0,"sorrow, about a mile away from the river."
3,1,All the land beyond the riverthose.
3,2,"On the right bank of Mokhovitsy it was considered remote and not fertile, the peasants almost did not use it, and they willingly extradited all Timofey An imovich Vakhrushev and his sons to complete independent branded ownership, as a settlement, and registered the Stulov volost in their own books: Malozavalin sky."
3,3,"Arable, courtyard and forest overgrowth sprang up in about 48 tithes and, moreover, in tens of meadow snowy lands located on the left bank of the Vyatka River, at Stulovo * xe volost, near the stone cut I was called quarry or out of the quarry."
3,4,So common nadl received by Timofei Animovich.
3,5,"The peasants of the village of Trosimovskoy expressed themselves at about 50-51 ests.Two tithes, the most extreme places, urochki, Timotei Anfimovich took the heights of the estate, or it was called peasantly: courtyard plots for building houses for his sons."
3,6,"At first there was built one small wooden house or, rather, a one-story village hut with a fence behind a thin wooden fennel, small ears rooms with one window., With a large stove in the middle, and with two floors, that is."
3,7,the furnace and the floors and shops under the windows / served as the whole seven bedrooms [which is ordinary and so far in all the peasant farms of the Vyatka province /.
3,8,"Timofey And imovich the past of the peasants of Nin, built up, stooped, stooped, fully dressed like a peasant, and simple, commonplace clothing for peasants: a long, colorful swag"
4,0,"belt, shirts from the canvas of his product, pants and bast shoes, and on holidays boots with high shafts, smeared with money."
4,1,"He was very economical and thrifty, the so-called skopidomy; not literate, but his children considered it necessary."
4,2,"learn to read and write.When he rode on a horse, Timofey Anfimovich bent forward and bent his head, so even in the village of Trofimov he was nicknamed “Yoke” / this is a fitting - a half-arch that serves as a peasant’s farm, which is covered in water, and at the end of the rocker arm are suspended two buckets of water?"
4,3,"/.This nickname is inherited from the father and all his offspring; the peasants who were in the district called him Timka-rocker, his children were called not by Amiliyam, but Timins or rocker, but BE official books were registered in the Stulov volost, as if to follow, the surname of Vakhrushev, Timofey Anfimovichovich sons.The hut or the house of Timofei Anfimovich was no different from the peasant buildings."
4,4,"dalennyak, there are three small windows on the street, the gates are sandy with a small fence and a wicket, on the other side there is a small barn for ssypki zita, i.e."
4,5,"grain and cellars on the opposite side of the street, through a little bit of sun or a corridor."
4,6,I soot.
4,7,"The farmyard for the horse and the cow adjoined the house, and above it, they drove the cattle for feed, i.e."
4,8,"for sna, straw and Myakina; house with barnyard."
4,9,"to cover the former with one common tevskoy roof, and the whole yard - a fence, that is, a gap between the house and the granary, to cover the former with straw, whereѣ / ie."
4,10,go up
5,0,"with a broken roof / rain and snow carts, sledges and agricultural plows and harrows were stored.Behind the cattle yard there was a garden for growing vegetables: potatoes, rye, cabbage and others, and at the end of the yard there was a fenced meadow with barn and straw covered with threshing floor."
5,1,"for threshing bread, BE is hand-held with chains, also called hammers.The eldest two sons of Timofei Antimovich were married back in the village of Trofimov, before moving to the village of Kalozavalinsky.IIaren Timofeevich married 18 years to a peasant woman."
5,2,"dvitsѣ, daughter of the Vyatskago blacksmith’s uzda district of Bobinsky volost, village of Kosolapovskaya, 16 years old, Agnii Maksimovna Kosolapova."
5,3,"The guy was not called up for military service, taking advantage of the law of the privilege of the 1st category, like the eldest son left for housekeeping and maintenance of his parents, and for the remaining 3 sons Timofey."
5,4,"Andes Imovich were hired and sent to military service.hired by contract mercenaries that at the beginning of the nineteenth century the law of the State of Russia was still permissible.Fyodor Timofeevich also married 18 years to a peasant woman’s daughter-in-law from Vyatskovo uvda, Pasechivsky volost, the village of Perestorninskaya, Anna Egorovna Perestoronina, 16 years old, and Ivan and Ilya to little village the little village of Malozavalin passed.With this family Timorey Antimovich moved to the settlement."
5,5,"his sister is also a childless widow.Settling on a settlement, all in one of the houses, Timothy Anfi movich with two sons and 4 women began to work intensively and fertilize all the land allotted to them to grow"
6,0,tillage.
6,1,"Having completed their work, we went to rent a day to earn some cents, which were all given to the old man."
6,2,"At the same time, according to the Highest Order, all postal tracts were planted with birch trees on the side of the road, gutters dug, and two rows of birch trees were planted behind the ditches."
6,3,"To do this, they hired local peasants by the day, or surrendered to them detachment."
6,4,Timofey Anfimovich did not miss this earnings.
6,5,"At first he worked with 4 of his family women by the day, and then he preferred to take on the detachment, in batches of 200-300 birches."
